County,LAT,LON,Event,date,Place,Deaths†,Injured†,Missing†,Houses Destroyed†,Houses Damaged†,Victims†,Affected†,Relocated†,Evacuated†,Damages in crops Ha.†,Comments
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Gelwa Marembo,,,,54,,,,,,,54 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Bora Imani),,,,48,,,,,,,48 household were affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Fejji),,,,48,,,,,,,48 household affected
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Galili-Tianaga,,,,41,,,,,,,41 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Kiomo Ngumu,,,,35,,,,,,,35 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina-Salama B,,,,30,,,,,,,30 household affected.
TANA RIVER,-2.389469196,39.59916346,FLOOD,1/6/2008,Hola - Garsen Road,,,,,,,,,,,Hola - Garsen road has been destroyed and people and cars stranded
TANA RIVER,-2.389469196,39.59916346,FLOOD,10/27/2006,Hola - Garsen region,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,11/11/2008,Ijara-Garsen Road,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,1/3/2012,,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Kipao (Ongonyo village),,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (chelwa),,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina (Hada),,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Mwina-Hakani,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Ndera-Balatiro,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Ndera-Bahati A,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Ndera-Bahati B,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Ndera-Bahati C,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Shirikisho-Matomba,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Shirikisho-Matomba,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Shirikisho-Matomba,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Shirikisho-Umoja,,,,,,,,,,,
TANA RIVER,-2.389469196,39.59916346,FLOOD,5/30/2012,Galili-Ferry,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,1/3/2011,,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Masongaleni-Ndauni road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Kyanginywa-Makutano road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Kibwezi-Kisayani road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Utithi-Ivoleni road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Kinyambu-Metava road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Kambu-Makutano road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Nthogoni-Mtito Andei road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Mtito Andei-Nthuguni-Kathekani road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Mtito Andei-Kyusyani Kamunyu road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,FLOOD,1/12/2009,Hillside-Kathekani road,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,9/3/2011,,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,1/5/2010,KIKUMBULYU,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,1/5/2010,MASONGALENI,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,1/5/2010,KINYAMBU,,,,,,,,,,,
MAKUENI,-2.354236007,38.10320157,DROUGHT,1/5/2010,UTITHI,,,,,,,,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,9/2/2011,Lamu East,,,,,,,8000,,,,
LAMU,-2.256590331,40.88504998,FLOOD,1/6/2008,,,,,,,,4000,,,,
LAMU,-2.256590331,40.88504998,FLOOD,3/1/2010,Lamu West,,,,,,,3959,,,,
LAMU,-2.256590331,40.88504998,FLOOD,10/28/2009,Kiunga Witu,,,,160,,,800,,,,
LAMU,-2.256590331,40.88504998,FLOOD,3/1/2010,Lamu East - Faza Island,,,,14,,,420,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,9/4/2009,,,,,,,,37,,,,
LAMU,-2.256590331,40.88504998,EPIDEMIC,9/19/2009,Lamu,6,,,,,,8,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,2/28/2011,Lamu West,,,,,,,,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,9/3/2011,,,,,,,,,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,1/8/2009,Lamu West,,,,,,,,,,,
LAMU,-2.256590331,40.88504998,DROUGHT,1/8/2009,Lamu East,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/3/2011,,,,,,,,70203,,,,
MAKUENI,-2.245442852,37.78452637,FLOOD,3/1/2010,Mwisuni Village,,,,,,,,,,,River Kiboko burst its banks mashrooning 5 families
MAKUENI,-2.245442852,37.78452637,FLOOD,3/1/2010,,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,9/3/2011,,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/8/2009,"Nguumo - Muuni, Ilatu village",,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/5/2010,KIBOKO,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/5/2010,MAKINDU,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/5/2010,TWAANDU,,,,,,,,,,,
MAKUENI,-2.245442852,37.78452637,DROUGHT,1/5/2010,NGUUMO,,,,,,,,,,,
LAMU,-2.170220259,40.57899461,DROUGHT,1/8/2009,Bahari,,,,,,,,,,,
KAJIADO,-2.070415331,37.2819277,DROUGHT,1/3/2011,,,,,,,,,,,,
MAKUENI,-1.993377133,37.47877144,FLOOD,3/1/2010,Emali,,,,,,,,,,,
MAKUENI,-1.993377133,37.47877144,FLOOD,3/1/2010,Emali,,,,,,,,,,,
MAKUENI,-1.993377133,37.47877144,FLOOD,1/14/2010,Emali-Ukia road,,,,,,,,,,,
MAKUENI,-1.993377133,37.47877144,FLOOD,1/14/2010,Masimba-Nguu-Simba road,,,,,,,,,,,
MAKUENI,-1.949769729,37.81340308,DROUGHT,3/2/2012,,,,,,,,,,,,
MAKUENI,-1.949769729,37.81340308,DROUGHT,11/3/2011,,,,,,,,,,,,
MAKUENI,-1.949769729,37.81340308,DROUGHT,1/8/2009,,,,,,,,,,,,
KAJIADO,-1.903173522,36.25721399,FLOOD,4/5/2012,River Lelempe along Magadi RD,3,,,,,,,,,,
MAKUENI,-1.882765859,37.55577466,FOREST FIRE,12/31/2008,Makuri Forest in Nzaui District,,,,,,,,,,60,Indigenous forest burned down due to extreme high temperatures and low humidity
MAKUENI,-1.882765859,37.55577466,DROUGHT,1/3/2011,Nzaui,,,,,,,,,,,
MAKUENI,-1.882765859,37.55577466,DROUGHT,9/3/2011,Nzaui,,,,,,,,,,,
MAKUENI,-1.882765859,37.55577466,DROUGHT,1/8/2009,,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,EPIDEMIC,1/1/2009,Kajiado,2,,,,,,7,,,,Incidences of cholera were reported as from January to June 2009
KAJIADO,-1.873096007,36.66260124,FLOOD,12/28/2009,Kajiado North,3,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,FLOOD,3/3/2010,River Isinya,2,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,FLOOD,1/4/2013,Ole polos river,1,,,,,,,,,,The deceased bodyn trace 500 metres away.
KAJIADO,-1.873096007,36.66260124,DROUGHT,1/3/2011,,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,FLOOD,1/3/2012,Kitengela,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,FLOOD,1/7/2010,Kitengela,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,DROUGHT,1/3/2012,Kajiado North,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,DROUGHT,1/8/2009,Kajiado South,,,,,,,,,,,
KAJIADO,-1.873096007,36.66260124,DROUGHT,1/8/2009,Kajiado North,,,,,,,,,,,
MAKUENI,-1.830517316,37.26824589,DROUGHT,1/8/2009,Mukaa,,,,,,,,,,,
MAKUENI,-1.830517316,37.26824589,DROUGHT,9/3/2011,Mukaa,,,,,,,,,,,
MAKUENI,-1.830517316,37.26824589,DROUGHT,1/4/2010,KILOME,,,,,,,,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/3/2011,,,,,,,,29177,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/8/2009,,,,,,,,,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/5/2010,WATEMA,,,,,,,,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/5/2010,KITHEMBE,,,,,,,,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/5/2010,KIKOKO,,,,,,,,,,,
MAKUENI,-1.785934239,37.37865124,DROUGHT,1/5/2010,ILIMA,,,,,,,,,,,
MAKUENI,-1.758211749,37.47395889,DROUGHT,1/5/2010,IUANI,,,,,,,,,,,
MAKUENI,-1.758211749,37.47395889,DROUGHT,1/5/2010,KILALA,,,,,,,,,,,
MAKUENI,-1.758211749,37.47395889,DROUGHT,1/5/2010,KIVANI,,,,,,,,,,,
MAKUENI,-1.758211749,37.47395889,DROUGHT,1/5/2010,KEE,,,,,,,,,,,
GARISSA,-1.71672963,40.2855404,DROUGHT,4/26/2009,Dahir- Metahir village,,,,,,,,,,,
KITUI,-1.713743318,38.47920823,DROUGHT,1/3/2011,,,,,,,,63598,,,,
KITUI,-1.713743318,38.47920823,EPIDEMIC,9/19/2009,Kitui North,2,,,,,,1,,,,
KITUI,-1.713743318,38.47920823,FLOOD,6/1/2010,Mutomo,,,,6,,,,,,,
KITUI,-1.713743318,38.47920823,DROUGHT,1/8/2009,,,,,,,,,,,,
KITUI,-1.713743318,38.47920823,DROUGHT,8/3/2009,,,,,,,,,,,,
KITUI,-1.713743318,38.47920823,DROUGHT,1/5/2010,VOO,,,,,,,,,,,
KITUI,-1.713743318,38.47920823,DROUGHT,1/5/2010,KYAMATU,,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,LANDSLIDE,11/30/2010,Kithungo location,1,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,DROUGHT,1/3/2011,,,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,DROUGHT,11/3/2011,Mbumbuni,,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,DROUGHT,11/3/2011,Mbooni west,,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,DROUGHT,1/8/2009,,,,,,,,,,,,
MAKUENI,-1.663384963,37.4475202,DROUGHT,1/4/2010,Mbooni,,,,,,,,,,,
MACHAKOS,-1.662657689,37.29555,DROUGHT,1/4/2010,Katanga,,,,,,,,,,,
GARISSA,-1.582067931,40.54081569,DROUGHT,9/3/2011,,,,,,,,,,,,
GARISSA,-1.582067931,40.54081569,DROUGHT,1/8/2009,Ijara - Bulla-Golol village,,,,,,,,,,,
GARISSA,-1.582067931,40.54081569,FLOOD,11/11/2008,Ijara-Garsen Road,,,,,,,,,,,
MACHAKOS,-1.568572799,37.22053819,EPIDEMIC,1/1/2009,Machakos,6,,,,,,6,,,,Incidences of cholera were reported as from January to June 2009
MACHAKOS,-1.568572799,37.22053819,FLOOD,5/14/2002,,1,,,,,,,,,,
MACHAKOS,-1.568572799,37.22053819,DROUGHT,1/8/2009,Machakos,,,,,,,,,,,
TANA RIVER,-1.538862749,39.54273779,FLOOD,4/29/2010,Tana river near Walden,,,,,,,11573,,,,
KITUI,-1.492775251,38.05972316,DROUGHT,9/3/2011,Kisasi,,,,,,,,,,,
KITUI,-1.492775251,38.05972316,DROUGHT,1/5/2010,NZANGATHI,,,,,,,,,,,
KITUI,-1.492775251,38.05972316,DROUGHT,1/5/2010,NZAMBANI,,,,,,,,,,,
MACHAKOS,-1.482733649,37.04995558,DROUGHT,1/3/2012,Isinya,,,,,,,,,,,
MACHAKOS,-1.482733649,37.04995558,DROUGHT,3/15/2011,Athi River,,,,,,,,,,,
MACHAKOS,-1.482733649,37.04995558,DROUGHT,1/8/2009,Athi River,,,,,,,,,,,
MACHAKOS,-1.482733649,37.04995558,DROUGHT,9/4/2009,,,,,,,,,,,,
MACHAKOS,-1.482733649,37.04995558,FLOOD,1/3/2012,Athi River,,,,,,,,,,,
KITUI,-1.474834787,37.82999014,DROUGHT,3/3/2009,,,,,,,,242400,,,,
KITUI,-1.474834787,37.82999014,DROUGHT,9/3/2011,Lower Yatta,,,,,,,,,,,
KITUI,-1.474834787,37.82999014,DROUGHT,9/3/2011,"Matuu, Katulani",,,,,,,,,,,
MACHAKOS,-1.416944348,37.30311412,DROUGHT,1/8/2009,,,,,,,,,,,,
MACHAKOS,-1.416944348,37.30311412,DROUGHT,1/4/2010,KATHIANI,,,,,,,,,,,
MACHAKOS,-1.416944348,37.30311412,FLOOD,4/5/2012,Athi River,,,,,,,,,,,"several houses were submerged,four families displaced and thirteen households marooned"
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,,,,,,,,83334,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,Mitinyani,,,,,,,14440,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kithumula",,,,,,,14210,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kwa Mutonga",,,,,,,13666,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kathivo",,,,,,,11490,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kauma",,,,,,,11490,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Mutulu",,,,,,,10820,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kalimani",,,,,,,10384,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Mitinyani, Kithumula",,,,,,,7707,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Mitinyani, Mitinyani",,,,,,,7287,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Matinyani, Kwa Mutonga",,,,,,,6832,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"MItinyani, Mutulu",,,,,,,5855,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Mitinyani, Kauma",,,,,,,5745,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Mitinyani, Kalimani",,,,,,,5192,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/2/2011,"Mitinyani, Kwa Mulungu",,,,,,,4304,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,Kwa Mulungu,,,,,,,2159,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/1/2011,"Mitinyani, Kathivo",,,,,,,2010,,,,
KITUI,-1.406435397,38.02224537,FLOOD,5/14/2002,,1,,,,,,,,,,
KITUI,-1.406435397,38.02224537,FLOOD,5/14/2002,,1,,,,,,,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/8/2009,,,,,,,,,,,,
KITUI,-1.406435397,38.02224537,DROUGHT,1/8/2009,Kitui West,,,,,,,,,,,
KAJIADO,-1.394813244,36.44526543,FLASH FLOOD,12/25/2009,"Ol Mayana, Esoneruwa",,,,4,,,,,,,"House hold goods, 10 goats, 10 iron sheets at Esoneruwa Trading Centre were swept away, a stream also overflooded"
KAJIADO,-1.394813244,36.44526543,FLOOD,1/1/2010,Rongai,4,,,,,,,,,,
KAJIADO,-1.394813244,36.44526543,FLASH FLOOD,12/25/2009,"Ole Moroi in Kajiado North, Sanikeli",4,,,,,,,,,,Waters from the heavy storm of rainfall formed a seasonal river and streamed downhill. 8 people who were crossing a road were swept by the floods and[...]
KAJIADO,-1.394813244,36.44526543,FLOOD,2/1/2010,Rongai,4,,,,,,,,,,
KAJIADO,-1.394813244,36.44526543,FLOOD,9/5/2010,"Ngong, Matasia, Kiserian, Kisamis",1,,,,,,,,,,Ngong area recieved heavy pounding from around 2000Hrs on 9th May to 10th May nonstop. Roads were rendered impassable and heavy boulders were[...]
KAJIADO,-1.394813244,36.44526543,FLOOD,3/29/2013,Ngong Township,1,,,,,,,,,,
KAJIADO,-1.394813244,36.44526543,FLOOD,7/6/2013,,1,,,,,,,,,,No further clarifications made
KAJIADO,-1.394813244,36.44526543,FLASH FLOOD,12/25/2009,OL Tepesi,,,,,,,,,,,"The stream damaged the road and overflowed its banks, the road edges , guard rails were swept away and excessive fow of water current from upstream[...]"
KAJIADO,-1.394813244,36.44526543,FLOOD,1/3/2012,,,,,,,,,,,,
NAIROBI,-1.366321828,36.81424121,FLOOD,12/22/2009,Kibera,,,,60,,,,,,,
NAIROBI,-1.366321828,36.81424121,DROUGHT,1/8/2009,,,,,,,,,,,,
KITUI,-1.35328287,38.2910292,DROUGHT,9/3/2011,,,,,,,,,,,,
KITUI,-1.35328287,38.2910292,DROUGHT,1/5/2010,THUA,,,,,,,,,,,
KITUI,-1.35328287,38.2910292,DROUGHT,1/5/2010,ZOMBE,,,,,,,,,,,
KITUI,-1.35328287,38.2910292,DROUGHT,1/5/2010,MUTITU,,,,,,,,,,,
KITUI,-1.35328287,38.2910292,DROUGHT,1/5/2010,KALIKU,,,,,,,,,,,
MACHAKOS,-1.340297849,37.45142118,DROUGHT,1/8/2009,,,,,,,,193302,,,,
MACHAKOS,-1.340297849,37.45142118,FLOOD,11/13/2008,,10,,,,,,,,,,
MACHAKOS,-1.340297849,37.45142118,FLOOD,1/1/2010,,2,,,,,,,,,,
MACHAKOS,-1.340297849,37.45142118,FLOOD,1/1/2010,,,,,,,,,,,,Kisola pri sch 10 toilets Kamba Pri Sch 10 Muthini Pri sch 5
MACHAKOS,-1.340297849,37.45142118,DROUGHT,1/4/2010,Mwala,,,,,,,,,,,
MACHAKOS,-1.333257594,37.34576029,DROUGHT,1/8/2009,,,,,,,,,,,,
KITUI,-1.297056499,38.61716137,DROUGHT,1/5/2010,MALALANI,,,,,,,,,,,
KITUI,-1.297056499,38.61716137,DROUGHT,1/5/2010,MWITIKA,,,,,,,,,,,
NAIROBI,-1.292816458,36.85588634,EPIDEMIC,7/10/2009,Nairobi East,12,,,,,,25,,,,
NAIROBI,-1.292816458,36.85588634,FLOOD,5/14/2002,Buruburu,3,,,,,,,,,,
NAIROBI,-1.292816458,36.85588634,DROUGHT,1/8/2009,,,,,,,,,,,,
NAIROBI,-1.282377919,36.75288101,FLOOD,4/4/2013,"Kilimani, Kawangware",1,,,,,,,,,,
NAIROBI,-1.282377919,36.75288101,FLOOD,3/29/2013,Kilimani kawangare(Nairobi river),1,,,,,,,,,,Body retrieved and taken to Chiromo mortuary.
NAIROBI,-1.282377919,36.75288101,FLOOD,3/13/2013,Kawangware,1,,,,,,,,,,Body was retrieved and taken to Chiromo mortuary
NAIROBI,-1.282377919,36.75288101,DROUGHT,1/8/2009,,,,,,,,,,,,
NAIROBI,-1.282377919,36.75288101,FLOOD,1/7/2010,Kawangware,,,,,,,,,,,
NAIROBI,-1.282377919,36.75288101,FLOOD,1/7/2010,Uthiru,,,,,,,,,,,
NAIROBI,-1.282377919,36.75288101,FLOOD,1/7/2010,Ngando,,,,,,,,,,,
NAIROBI,-1.276685459,36.97258379,FLOOD,4/5/2012,Ruai,,,,,,,100,,,,100 people were marooned with floods
NAIROBI,-1.276685459,36.97258379,DROUGHT,1/8/2009,,,,,,,,,,,,
NAIROBI,-1.276685459,36.97258379,DROUGHT,1/8/2009,Njiru,,,,,,,,,,,
NAIROBI,-1.273206787,36.85492999,EPIDEMIC,10/25/2009,Kamukunji,,,,,,,9,,,,
NAIROBI,-1.273206787,36.85492999,DROUGHT,1/8/2009,,,,,,,,,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,10/24/2009,Starehe,,,,,,,12,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,4/8/2009,,,,,,,,7,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,1/1/2009,Nairobi West,,,,,,,7,,,,Incidences of cholera were reported as from January to June 2009
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/14/2009,,,,,,,,4,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,7/31/2009,,,,,,,,3,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/15/2009,,,,,,,,3,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,1/1/2009,Nairobi North,,,,,,,3,,,,Incidences of cholera were reported as from January to June 2009
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,7/8/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,7/29/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,3/8/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/8/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,11/8/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,12/8/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/13/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/18/2009,,,,,,,,2,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,7/30/2009,,,,,,,,1,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,8/17/2009,,,,,,,,1,,,,
NAIROBI,-1.267622133,36.84605137,EPIDEMIC,1/1/2009,Nairobi East,,,,,,,1,,,,Incidences of cholera were reported as from January to June 2009
NAIROBI,-1.267622133,36.84605137,FLOOD,3/29/2013,Nairobi CBD,,2,,,,,,,,,
NAIROBI,-1.267622133,36.84605137,FLOOD,3/13/2013,Nairobi CBD,,2,,,,,,,,,No further clarifications made
NAIROBI,-1.267622133,36.84605137,FLOOD,3/13/2013,Ngoroi,4,1,,,,,,,,,No further clarifications recorded.
NAIROBI,-1.267622133,36.84605137,FLOOD,3/29/2013,Ngoro,4,,1,,,,,,,,
NAIROBI,-1.267622133,36.84605137,FLOOD,12/23/2009,Nairobi,4,,,,,,,,,,
NAIROBI,-1.267622133,36.84605137,FLOOD,12/23/2009,,4,,,,,,,,,,vehicles were destroyed and roofs of buildings blown away
NAIROBI,-1.267622133,36.84605137,FLOOD,5/14/2002,Kilimani,1,,,,,,,,,,
MIGORI,-1.248027436,34.64046895,FLOOD,5/14/2002,,1,,,,,,,,,,
NAIROBI,-1.241644392,36.78335928,FOREST FIRE,3/24/2009,Karura forest,,,,,,,,,,50,Indigenous forest burned down
NAIROBI,-1.241644392,36.78335928,DROUGHT,1/8/2009,,,,,,,,,,,,
NAIROBI,-1.241644392,36.78335928,FLOOD,1/7/2010,Kitisuru,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/8/2009,,,,,,,,229000,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,2/28/2011,Kithimani,,,,,,,58093,,,,
MACHAKOS,-1.238270452,37.58155011,FLOOD,1/12/2009,Sunai Primary Sch,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,FLOOD,1/12/2009,Kithimani- Katanga road,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,FLOOD,1/12/2009,Mamba- Ndalani road,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,FLOOD,1/12/2009,Sofia-Ndalani-Kambi Mawe road,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,2/28/2011,Mavoloni,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,2/28/2011,Ndalani,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,2/28/2011,Matuu,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,2/28/2011,Katangi,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/8/2009,Lower Yatta,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,YATTA,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Ikombe,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Kyua,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Kinyaata,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Kithimani,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Mavoloni,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Ndalani,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,DROUGHT,1/4/2010,Matuu,,,,,,,,,,,
MACHAKOS,-1.238270452,37.58155011,FLOOD,6/5/2012,Lower Yatta District,,,,,,,,,1,,one person marooned by water
KIAMBU,-1.234691677,36.62415091,DROUGHT,4/3/2011,,,,,,,,36000,,,,
KIAMBU,-1.234691677,36.62415091,FLOOD,4/30/2013,Shauri Yako village,,,,,,,405,,,,"81 house holds were displaced,crops damaged,toilets submerged roads damaged and shops flooded. Drainage system required unblocking, food and non-food[...]"
KIAMBU,-1.234691677,36.62415091,DROUGHT,1/3/2011,,,,,,,,,,,,
KIAMBU,-1.234691677,36.62415091,FLOOD,1/7/2010,Karai,,,,,,,,,,,
NAIROBI,-1.208094488,36.91934853,EPIDEMIC,9/23/2009,Kasarani,10,,,,,,28,,,,
NAIROBI,-1.208094488,36.91934853,FLOOD,5/14/2002,,6,,,,,,,,,,
NAIROBI,-1.208094488,36.91934853,FLOOD,5/13/2012,near Mathare river,1,,,,,,,,,,
NAIROBI,-1.208094488,36.91934853,DROUGHT,1/8/2009,Kasarani,,,,,,,,,,,
NAIROBI,-1.208094488,36.91934853,DROUGHT,1/8/2009,Baba Dogo,,,,,,,,,,,
MACHAKOS,-1.203620017,37.23248451,DROUGHT,1/8/2009,Nzambani,,,,,,,,,,,
MACHAKOS,-1.203620017,37.23248451,DROUGHT,1/8/2009,,,,,,,,,,,,
KIAMBU,-1.162889285,36.80600841,DROUGHT,8/3/2009,Municipality,,,,,,,12325,,,,
KIAMBU,-1.162889285,36.80600841,DROUGHT,1/8/2009,Gathanga,,,,,,,,,,,
